Name,URI
Bioenergy Minor Program,http://opaquenamespace.org/ns/subject/OregonStateUniversityBioenergyMinorProgram
Bioresource Research,http://opaquenamespace.org/ns/subject/OregonStateUniversityBioresourceResearch
Celebration of Undergraduate Excellence,http://opaquenamespace.org/ns/subject/OregonStateUniversityCelebrationOfUndergraduateExcellence
Center for Genome Research and Biocomputing,http://opaquenamespace.org/ns/subject/OregonStateUniversityCenterForGenomeResearchAndBiocomputing
Engineering Experiment Station,http://id.loc.gov/authorities/names/n82166978
Extended Campus,http://opaquenamespace.org/ns/subject/OregonStateUniversityExtendedCampus
Extension Service,http://id.loc.gov/authorities/names/n79115395
Extension Service and Agricultural Experiment Station,http://id.loc.gov/authorities/names/n80126175
Faculty Senate Library Committee,http://opaquenamespace.org/ns/subject/OregonStateUniversityFacultySenateLibraryCommittee
Graduate School,http://id.loc.gov/authorities/names/n84147452
Hatfield Marine Science Center,http://id.loc.gov/authorities/names/n84131837
Honors College,http://opaquenamespace.org/ns/subject/OregonStateUniversityHonorsCollege
Institute for Natural Resources,http://id.loc.gov/authorities/names/no2006063387
Library Undergraduate Research Awards,http://opaquenamespace.org/ns/subject/OregonStateUniversityLibraryUndergraduateResearchAwards
Linus Pauling Institute,http://www.wikidata.org/entity/Q3151762
Northwest National Marine Renewable Energy Center (NNMREC) Publications,http://www.wikidata.org/entity/Q7060130
Oregon Department of Fish and Wildlife,http://id.loc.gov/authorities/names/n81053266
Oregon Explorer,http://opaquenamespace.org/ns/subject/OregonExplorer
Oregon Marine Renewable Energy Environmental Science Conference Proceedings,http://opaquenamespace.org/ns/subject/OregonMarineRenewableEnergyEnvSciConference
Oregon State Arthropod Collection,http://opaquenamespace.org/ns/subject/OregonStateArthropodCollection
Oregon Wave Energy Trust,http://id.loc.gov/authorities/names/no2011009181
Oregon Wine Research Institute,http://opaquenamespace.org/ns/subject/OregonWineResearchInstitute
OSU Cascades,http://www.wikidata.org/entity/Q7101371
OSU Press,http://id.loc.gov/authorities/names/n82039655
President's Office,http://opaquenamespace.org/ns/subject/OregonStateUniversityPresidentsOffice
Registrar's Office,http://opaquenamespace.org/ns/subject/OregonStateUniversityRegistrarsOffice
Rural Studies Program,http://opaquenamespace.org/ns/subject/OregonStateUniversityRuralStudiesProgram
Student Affairs,http://opaquenamespace.org/ns/subject/OregonStateUniversityDivisionOfStudentAffairs
"Undergraduate Research, Scholarship, and the Arts (URSA)",http://opaquenamespace.org/ns/subject/OregonStateUniversityURSA
University Housing & Dining Services,http://opaquenamespace.org/ns/subject/OregonStateUniversityHousingDiningServices
University Information Technology Committee,http://opaquenamespace.org/ns/subject/OregonStateUniversityInformationTechnologyCommittee
University Libraries,http://id.loc.gov/authorities/names/n00020491
Urban League of Portland,http://id.loc.gov/authorities/names/no2011149633
Women's Center,http://opaquenamespace.org/ns/subject/OregonStateUniversityWomensCenter
Writing Intensive Curriculum,http://opaquenamespace.org/ns/subject/OregonStateUniversityWritingIntensiveCurriculum